step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1000,0.47625,0.88889,,
1001,0.00464,1.0,,
1002,0.4247,0.88889,,
1003,0.11424,0.88889,,
1004,0.00615,1.0,,
1005,0.39486,0.88889,,
1006,0.39373,0.88889,,
1007,0.00582,1.0,,
1008,0.07773,1.0,,
1009,0.14963,0.88889,,
1010,0.61188,0.88889,,
1011,0.37005,0.88889,,
1012,0.01013,1.0,,
1013,0.00597,1.0,,
1014,0.0029,1.0,,
1015,0.89352,0.77778,,
1016,1.1215,0.77778,,
1017,0.0552,1.0,,
1018,0.0033,1.0,,
1019,0.00272,1.0,,
1020,0.01627,1.0,,
1021,0.00623,1.0,,
